product_id,variant_id,catalog_item,image_path,official_product_page,official_asset_url,verified_on
161,46,Uncover Green Tea Detoxifying Sheet Masks 3pcs,products/official/uncover/green-tea-sheet-mask-3pcs.webp,https://ke.uncoverskincare.com/products/i-am-beautiful-green-tea-sheet-masks-3pcs,https://cdn.shopify.com/s/files/1/0618/1099/9367/files/I-am-beau-tea-ful-Green-Tea-Detoxifying-Sheet-Mask-3pcs-100-jpg.webp?v=1759137925,2026-07-15
161,47,Uncover Vitamin C Brightening Sheet Masks 3pcs,products/official/uncover/vitamin-c-sheet-mask-3pcs.webp,https://ke.uncoverskincare.com/products/i-am-briliant-vitamin-c-sheet-mask-3pcs,https://cdn.shopify.com/s/files/1/0618/1099/9367/files/I-am-brilliant-Vitamin-C-Brightening-Sheet-Mask-3pcs-100-jpg.webp?v=1759137947,2026-07-15
161,48,Uncover Green Tea Blemish Control Serum,products/official/uncover/green-tea-blemish-serum.webp,https://ke.uncoverskincare.com/products/green_tea_blemish_control_serum_acne_control,https://cdn.shopify.com/s/files/1/0618/1099/9367/files/wujsn8gkhaxn80d4cyvq.webp?v=1781804158,2026-07-15
161,49,Uncover Baobab Glow C Serum,products/official/uncover/baobab-glow-c-serum.png,https://ke.uncoverskincare.com/products/baobab-glow-c-serum,https://cdn.shopify.com/s/files/1/0618/1099/9367/files/NewBaobabHeroImage.png?v=1781804973,2026-07-15
161,50,Uncover 10 Pack Sheet Mask Bundle,products/official/uncover/10-pack-sheet-mask-bundle.webp,https://ke.uncoverskincare.com/products/10-pack-sheet-mask-bundle,https://cdn.shopify.com/s/files/1/0618/1099/9367/files/10-pack-Sheet-Mask-Bundle-100-jpg.webp?v=1759137925,2026-07-15
136,30,SMA Follow-On Milk 800g,products/official/sma-follow-on-milk-800g.png,https://www.smababy.co.uk/formula-milk/sma-follow-on-milk-powder-800g,https://www.smababy.co.uk/sites/default/files/2025-05/sma-follow-on-milk-800g-front-of-pack.png,2026-07-15
137,31,Johnson's Baby Lotion 500ml,products/official/johnsons-baby-lotion.jpg,https://www.kenvuebrands.com/sg/johnsons-baby/johnsons-baby-lotion,https://images.ctfassets.net/za5qny03n4xo/41DPcPvwq5UVqFYc8wbaV8/cfa7d18b8a84b057f18a0773dde09aa4/johnsons-baby-lotion-front.jpg,2026-07-15
138,32,Sudocrem Antiseptic Healing Cream 125g,products/official/sudocrem-antiseptic-healing-cream.png,https://www.sudocrem.co.uk/products/sudocrem-antiseptic-healing-cream/,https://www.sudocrem.co.uk/globalassets/sudocrem-uk/products-new/ashc.png,2026-07-15
139,33,OMRON M2 Upper Arm Blood Pressure Monitor (HEM-7143-E),products/official/omron-m2.webp,https://www.omron-healthcare.com/products/m2,https://www.omron-healthcare.com/images/fit=crop-50-50,fm=webp,h=1080,q=60,w=1080/products/m2_e_01-1.jpg?signature=61fad2f516dee83c968e2b6afd745e9274123a462f43ddb24734ec73fc5b1411,2026-07-15
140,34,Accu-Chek Active Blood Glucose Meter,products/official/accu-chek-active.png,https://www.accu-chek.co.kr/products/meters/active,https://www.accu-chek.co.kr/sites/g/files/papvje376/files/2024-09/Product-image_3.png,2026-07-15
141,35,OMRON Eco Temp Basic Digital Thermometer (MC-246-E4),products/official/omron-eco-temp-basic.webp,https://www.omron-healthcare.com/products/eco-temp-basic,https://www.omron-healthcare.com/images/fit=crop-50-50,fm=webp,h=480,q=60,w=480/products/eco_temp_basic_01-1.jpg?signature=a08502ab5fe4be088941894895396270401f0a5938bcf07050149b6a4da84f93,2026-07-15
107,1,Teva Amoxicillin Capsules USP 500mg,products/official/teva-amoxicillin-500mg.png,https://www.tevausa.com/our-products/tevagenerics/teva-generics-catalog/vision-product-page/amoxicillincapsulesusp,https://www.tevausa.com/api/storage/fileImage?containername=dfpackshots&type=Png&siteid=479053&pageid=0&localization=en&filename=Amox3109.png&foldername=Products&openinline=False,2026-07-15
108,2,Augmentin 625mg Tablets 14s,products/official/augmentin-625mg.jpg,https://gskpro.com/en-ng/deeplink/augmentin/,https://www.meldinpharma.com/web/image/product.product/4754/image_1920/%5BUKP_GSK-10%5D%20AUGMENTIN%20TAB%20625MG%2014%27S?unique=4b547c1,2026-07-15
124,18,Imodium 2mg Capsules 10s,products/official/imodium-2mg-10s.png,https://www.kenvuebrands.com/ph/imodium/imodium-original,https://images.ctfassets.net/za5qny03n4xo/2UJND05YsPfX3pNpiHYs9U/b934b0b5e6e0c830aa8cee73c749ff4f/imodium-10s.png,2026-07-15
125,19,Zyrtec Allergy Relief Tablets 10mg 30s,products/official/zyrtec-allergy-tablets-10mg-30ct.webp,https://www.zyrtec.com/products/zyrtec-tablets,https://images.ctfassets.net/k3yb2k40jz5v/5Juo1tHBZgHyp5kJLyxIRp/522942d264b44ca7c6e03d5de3b29d78/ZYR_NA_US_312547204361_302047301_559207_Allergy_Tablets_10mg_30Ct_00000_TIF.WEBP?fm=webp&w=1920,2026-07-15
142,36,OMRON P300 Intelli IT Pulse Oximeter (HPO-300T),products/official/omron-p300-intelli-it.jpg,https://www.omron-healthcare.com/products/p300-intelli-it,https://www.omron-healthcare.com/images/fit=crop-50-50,fm=jpg,h=1598,q=60,w=1600/products/p300_intelli_it_01-1.jpg?signature=35420ba0e750143ef390050b7df69e7312d7781e6e0306d6757378e1ef559b9a,2026-07-15
143,37,Coartem 20/120mg Tablets 24s,products/official/coartem-20-120mg-24s.png,https://www.novartis.com/us-en/content/coartem%C2%AE-tablets,https://www.pharmaguinee.com/258-large_default/coartem-20-120-comprime-disirop-b-24.jpg,2026-07-15
144,38,Fansidar 500mg/25mg Tablets,products/official/fansidar-500-25mg.webp,https://health-products.canada.ca/dpd-bdpp/info?code=9865&lang=eng,media/products/sulfadoxinepyrimethamine-50025mg-sp-tablets.jpg,2026-07-15
109,3,Ciplox 500mg Tablets,products/official/ciplox-500mg-10s.png,https://healthplusnigeria.com/products/ciplox-ciprofloxacin-500mg-x10,https://healthplusnigeria.com/cdn/shop/files/Ciplox_20Ciprofloxacin_20500mg_20x10_64e681dd-3314-446e-b78a-91ce2e0ed33d.webp?v=1764103560,2026-07-16
110,4,Flagyl 400mg Tablets,products/official/flagyl-400mg.webp,https://www.sanofi.com/,media/products/metronidazole-400mg-tablets.jpg,2026-07-16
111,5,Norvasc 5mg Tablets 30s,products/official/norvasc-5mg-30s.png,https://www.pfizer.com/products/product-detail/norvasc,https://medicalstore.com.pk/wp-content/uploads/2020/05/17219NORVASC-TAB-5MG-30S.png,2026-07-16
112,6,Sandoz Losartan 50mg Tablets 28s,products/official/sandoz-losartan-50mg-28s.png,https://www.sandoz.com/,media/products/losartan-50mg-tablets.jpg,2026-07-16
113,7,Lipitor 20mg Tablets,products/official/lipitor-20mg.jpg,https://www.pfizer.com/products/product-detail/lipitor,media/products/atorvastatin-20mg-tablets.jpg,2026-07-16
114,8,Actavis Metformin 500mg Tablets 84s,products/official/actavis-metformin-500mg-84s.jpg,https://www.tevapharm.com/,media/products/metformin-500mg-tablets.jpg,2026-07-16
115,9,Daonil 5mg Tablets 100s,products/official/daonil-5mg.jpg,https://www.sanofi.com/assets/countries/india/docs/science-and-innovation/for-healthcare-professionals/product-information/pharmaceuticals/daonil-and-semi-daonil-api.pdf,https://healthplusnigeria.com/cdn/shop/files/bxiaiblmya3rxgzkrrz3_a3bf81c4-5407-4247-a8f2-c6dadbb3e812.webp?v=1775643828,2026-07-16
116,10,Ventolin Evohaler 100mcg 200 Doses,products/official/ventolin-evohaler-100mcg.jpg,https://www.medicines.org.uk/emc/product/850/pil,https://orionpharmacy.co.ke/wp-content/uploads/2024/09/fc5da1dc-c181-4e43-9e97-87d0c200e56d.jpg,2026-07-16
118,12,Nurofen 400mg Double Strength Tablets 12s,products/official/nurofen-400mg-12s.jpg,https://www.nurofen.co.uk/,media/products/ibuprofen-400mg-tablets.jpg,2026-07-16
119,13,Teva Dispersible Aspirin 75mg Tablets 28s,products/official/teva-dispersible-aspirin-75mg-28s.jpg,https://www.expresschemist.co.uk/Teva-Dispersible-Aspirin-X28.html,https://www.expresschemist.co.uk/pics/products/22632/0/teva-disp-aspirin.jpg,2026-07-16
120,14,Strepsils Honey & Lemon Lozenges 24s,products/official/strepsils-honey-lemon-24s.webp,https://www.strepsils.com.ph/our-lozenges/strepsils-honey-lemon-24s/,https://eu-images.contentstack.com/v3/assets/blta64b08d31d99b1db/blta2f72dbcbceac8e6/6923e9358641c3e674f9313d/en-PH-strepsils_honey_and_lemon_24_1.webp,2026-07-16
121,15,Vicks VapoRub 50g,products/official/catalog-fixes/vicks-vaporub-50g.png,https://www.vicks.co.uk/products/decongestants/vicks-vaporub-ointment,https://images.ctfassets.net/lvahr7yfxlsw/75LNk0YBkx43OwldxrGUc6/8878c71739a6bb2b1c620e4f24a87568/Vicks_VapoRub_50g_primary_DT.png,2026-07-17
122,16,Neolyte Oral Rehydration Salts 10 Sachets,products/official/catalog-fixes/neolyte-ors-10s.jpg,,media/products/ors-sachets-oral-rehydration-salts-10s.jpg,2026-07-17
123,17,Omecip Omeprazole 20mg Gastro-Resistant Capsules 15s,products/official/catalog-fixes/omecip-20mg-15s.jpg,https://pharmeasy.in/online-medicine-order/omecip-20mg-strip-of-15-capsules-6873,https://cdn01.pharmeasy.in/dam/productsnowatermark/266943/omecip-20mg-strip-of-15-capsules-front-2-1756826302-non-watermarked.jpg,2026-07-17
127,21,Canesten Clotrimazole 1% Cream 20g,products/official/catalog-fixes/canesten-clotrimazole-1-20g.webp,https://www.canesten.co.uk/discover-canesten-products/canesten-thrush-external-cream,media/products/clotrimazole-1-cream-20g.jpg,2026-07-17
128,22,Lamberts Vitamin C 1000mg Effervescent Tablets 20s,products/official/catalog-fixes/lamberts-vitamin-c-1000mg-20s.png,https://lamberts.gr/en/product/vitamin-c-1000mg-effervescent-tabs/,https://lamberts.gr/wp-content/uploads/2025/01/VitaminC_Effervescent-1.png,2026-07-17
129,23,Ferrograd Folic 325mg/0.35mg Prolonged-Release Tablets 30s,products/official/catalog-fixes/ferrograd-folic-30s.jpg,https://www.medicines.org.uk/emc/product/102244/smpc,media/products/ferrous-sulphate-folic-acid-200mg04mg-tablets-30s.jpg,2026-07-17
130,24,NOW Omega-3 Fish Oil 1000mg Softgels 30s,products/official/catalog-fixes/now-omega-3-1000mg-30s.jpg,https://www.amazon.eg/-/en/Foods-Omega-3-Fish-1000-30-Softgels/dp/B0753FPVGG,https://f.nooncdn.com/p/pzsku/ZF82007321A471A5477CAZ/45/_/1772702964/198683ad-9096-4796-9d0c-20cad42a5bfc.jpg,2026-07-17
132,26,Jamieson 100% Complete Multi for Adults 30 Caplets,products/official/catalog-fixes/jamieson-complete-multi-adults-30s.jpg,https://www.jamiesonvitamins.com/collections/multivitamins/products/complete-multivitamin-for-adults,media/products/complete-multivitamins-adults-30s.jpg,2026-07-17
133,27,Cetaphil Gentle Skin Cleanser 250ml,products/official/catalog-fixes/cetaphil-gentle-skin-cleanser-250ml.jpg,https://www.cetaphil.co.uk/cleansers/gentle-skin-cleanser/5020465202554.html,media/products/cetaphil-gentle-skin-cleanser-250ml.jpg,2026-07-17
145,39,Acriptega 50mg/300mg/300mg Film-Coated Tablets 30s,products/official/catalog-fixes/acriptega-50-300-300-30s.jpg,https://verification.fda.gov.ph/drug_productsview.php?registration_number=DR-XY48284&showdetail=,media/products/tenofovirlamivudinedolutegravir-30030050mg-tld.jpg,2026-07-17
146,40,Organic Traditions Moringa Leaf Powder 200g,products/official/catalog-fixes/organic-traditions-moringa-200g.png,https://organictraditions.com/products/moringa-leaf-powder,https://organictraditions.com/cdn/shop/files/OT_ProductImage_1250x1250_GreenPowdersMoringaLeaf.png?v=1758005938,2026-07-17
